guid,published_et,published_utc,captured_utc,delay_seconds,title,link
9774788,2026-09-23 00:03:48,2026-09-23 04:03:48,2026-09-23 04:39:22,2134.8,Chinese authorities examine use of Broadcom hardware in state-backed data centers amid push to support local manufacturers - FT,https://www.financialjuice.com/News/9774788/Chinese-authorities-examine-use-of-Broadcom-hardware-in-state-backed-data-centers-amid-push-to-support-local-manufacturers---FT.aspx
9774789,2026-09-23 00:10:24,2026-09-23 04:10:24,2026-09-23 04:39:22,1738.8,Japan PM Takaichi: agreed with President Trump at meeting to enhance economic security partnership,https://www.financialjuice.com/News/9774789/Japan-PM-Takaichi-agreed-with-President-Trump-at-meeting-to-enhance-economic-security-partnership.aspx
9774797,2026-09-23 00:18:03,2026-09-23 04:18:03,2026-09-23 04:39:22,1279.8,Japan PM Takaichi: had frank discussion with Trump on international criminal court,https://www.financialjuice.com/News/9774797/Japan-PM-Takaichi-had-frank-discussion-with-Trump-on-international-criminal-court.aspx
9774798,2026-09-23 00:30:02,2026-09-23 04:30:02,2026-09-23 04:39:22,560.8,"Dutch GDP YoY Final NSA Actual 1.6% (Forecast -, Previous 1.3%)",https://www.financialjuice.com/News/9774798/Dutch-GDP-YoY-Final-NSA-Actual-16-Forecast---Previous-13.aspx
9774799,2026-09-23 00:30:03,2026-09-23 04:30:03,2026-09-23 04:39:22,559.8,"Dutch GDP QoQ Final SA Actual 0.6% (Forecast 0.4%, Previous 0.4%)",https://www.financialjuice.com/News/9774799/Dutch-GDP-QoQ-Final-SA-Actual-06-Forecast-04-Previous-04.aspx
9774800,2026-09-23 00:30:04,2026-09-23 04:30:04,2026-09-23 04:39:22,558.8,"Dutch final Q2 GDP rises 0.6% quarter-on-quarter, CBS",https://www.financialjuice.com/News/9774800/Dutch-final-Q2-GDP-rises-06-quarter-on-quarter-CBS.aspx
9774805,2026-09-23 00:30:23,2026-09-23 04:30:23,2026-09-23 04:39:22,539.8,South Korea picks Texas gas plant as initial project under US investment agreement - FT,https://www.financialjuice.com/News/9774805/South-Korea-picks-Texas-gas-plant-as-initial-project-under-US-investment-agreement---FT.aspx
9774822,2026-09-23 00:31:20,2026-09-23 04:31:20,2026-09-23 04:39:22,482.8,"Seoul to finance $22 billion gas-fired power plant in Texas, aiming to fulfill $350 billion pledge: ft",https://www.financialjuice.com/News/9774822/Seoul-to-finance-22-billion-gas-fired-power-plant-in-Texas-aiming-to-fulfill-350-billion-pledge-ft.aspx
9774823,2026-09-23 00:31:20,2026-09-23 04:31:20,2026-09-23 04:39:22,482.8,"Dutch final Q2 GDP rises 0.6% quarter on quarter, seasonally adjusted: CBS",https://www.financialjuice.com/News/9774823/Dutch-final-Q2-GDP-rises-06-quarter-on-quarter-seasonally-adjusted-CBS.aspx
9774824,2026-09-23 00:35:44,2026-09-23 04:35:44,2026-09-23 04:39:22,218.8,"China central bank offers 6-month yuan bills in Hong Kong at 1.37%, HKMA says",https://www.financialjuice.com/News/9774824/China-central-bank-offers-6-month-yuan-bills-in-Hong-Kong-at-137-HKMA-says.aspx
9774825,2026-09-23 00:38:46,2026-09-23 04:38:46,2026-09-23 04:39:22,36.8,Dutch final Q2 GDP rises 1.6% y/y nsa vs preliminary 1.3%: CBS,https://www.financialjuice.com/News/9774825/Dutch-final-Q2-GDP-rises-16-yy-nsa-vs-preliminary-13-CBS.aspx
